"","liczba_przypadkow","stan_rekordu_na","wojewodztwo"
"595",282,NA,"zachodniopomorskie"
"596",7914,NA,"Cały kraj"
"597",405,NA,"dolnośląskie"
"598",720,NA,"kujawsko-pomorskie"
"599",490,NA,"lubelskie"
"600",208,NA,"lubuskie"
"601",671,NA,"łódzkie"
"602",251,NA,"małopolskie"
"603",957,NA,"mazowieckie"
"604",120,NA,"opolskie"
"605",85,NA,"podkarpackie"
"606",203,NA,"podlaskie"
"607",483,NA,"pomorskie"
"608",823,NA,"śląskie"
"609",129,NA,"świętokrzyskie"
"610",765,NA,"warmińsko-mazurskie"
"611",647,NA,"wielkopolskie"
"612",713,NA,"zachodniopomorskie"
"613",12955,NA,"Cały kraj"
"614",674,NA,"dolnośląskie"
"615",1106,NA,"kujawsko-pomorskie"
"616",609,NA,"lubelskie"
"617",349,NA,"lubuskie"
"618",801,NA,"łódzkie"
"619",541,NA,"małopolskie"
"620",1600,NA,"mazowieckie"
"621",206,NA,"opolskie"
"622",279,NA,"podkarpackie"
"623",426,NA,"podlaskie"
"624",1101,NA,"pomorskie"
"625",1299,NA,"śląskie"
"626",159,NA,"świętokrzyskie"
"627",988,NA,"warmińsko-mazurskie"
"628",1585,NA,"wielkopolskie"
"629",996,NA,"zachodniopomorskie"
"630",13397,NA,"Cały kraj"
"631",804,NA,"dolnośląskie"
"632",1517,NA,"kujawsko-pomorskie"
"633",564,NA,"lubelskie"
"634",493,NA,"lubuskie"
"635",703,NA,"łódzkie"
"636",387,NA,"małopolskie"
"637",1739,NA,"mazowieckie"
"638",347,NA,"opolskie"
"639",284,NA,"podkarpackie"
"640",356,NA,"podlaskie"
"641",1288,NA,"pomorskie"
"642",1046,NA,"śląskie"
"643",193,NA,"świętokrzyskie"
"644",1061,NA,"warmińsko-mazurskie"
"645",1469,NA,"wielkopolskie"
"646",900,NA,"zachodniopomorskie"
"647",11008,NA,"Cały kraj"
"648",647,NA,"dolnośląskie"
"649",967,NA,"kujawsko-pomorskie"
"650",388,NA,"lubelskie"
"651",343,NA,"lubuskie"
"652",704,NA,"łódzkie"
"653",388,NA,"małopolskie"
"654",1453,NA,"mazowieckie"
"655",179,NA,"opolskie"
"656",261,NA,"podkarpackie"
"657",307,NA,"podlaskie"
"658",1027,NA,"pomorskie"
"659",885,NA,"śląskie"
"660",192,NA,"świętokrzyskie"
"661",825,NA,"warmińsko-mazurskie"
"662",1249,NA,"wielkopolskie"
"663",951,NA,"zachodniopomorskie"
"664",6945,NA,"Cały kraj"
"665",344,NA,"dolnośląskie"
"666",471,NA,"kujawsko-pomorskie"
"667",280,NA,"lubelskie"
"668",113,NA,"lubuskie"
